ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
42,0.0185521288982312,,,300,,,,0.3,,,0.4,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
43,0.0163534453749548,,0.05,200,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
44,0.0175264275054106,,0.1,300,4,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
45,0.0165803690604694,,0.05,200,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
46,0.0189143449578591,,,300,,,,0.3,,,0.4,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
47,0.0163505010144661,,0.05,200,10,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
48,0.0165869432707126,,0.05,300,4,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
49,0.0185521289065125,,,300,,,,0.5,,,0.4,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
50,0.0165078412639113,,0.05,200,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
51,0.0162600665183453,,0.05,200,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
52,0.017531099796215,,0.1,300,4,2,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
53,0.0189143449573263,,,300,,,,0.5,,,0.4,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
54,0.0165108541938204,,0.05,200,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
55,0.0162811161850378,,0.05,200,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
56,0.0169032616698324,,0.05,300,4,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
57,0.0185521289104092,,,300,,,,0.3,,,0.6,,,gblinear,0.0,1.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
58,0.0169950449134144,,0.05,200,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
59,0.0167524717130384,,0.05,200,10,1,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
60,0.018679499465346,,0.1,300,4,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
61,0.0189143449580046,,,300,,,,0.3,,,0.6,,,gblinear,0.0,2.0,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
62,0.0169910480934442,,0.05,200,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
